Температура,Деформация,Время,Напряжение,Угол_град,d_Деформация,d_Время,Скорость_деф
92.0,0.0,148.255,44.5187,0.0,0.0,0.2330000000000041,0.0
92.25,0.0,148.487,44.5133,0.0,0.0,0.23199999999999932,0.0
92.5,0.0,148.72,44.518,0.0,0.0,0.2330000000000041,0.0
92.5,0.0,148.953,44.5219,0.0,0.0,0.2330000000000041,0.0
93.25,0.0,149.185,44.5178,0.0,0.0,0.23199999999999932,0.0
92.75,0.0,149.418,44.517,0.0,0.0,0.2330000000000041,0.0
94.5,0.0,149.651,44.5212,0.0,0.0,0.2330000000000041,0.0
94.0,0.0,149.883,44.5171,0.0,0.0,0.23199999999999932,0.0
96.0,0.0,150.116,44.5205,0.0,0.0,0.2330000000000041,0.0
95.0,0.0,150.349,44.521,0.0,0.0,0.23299999999997567,0.0
97.25,0.0,150.581,44.5157,0.0,0.0,0.23199999999999932,0.0
95.75,0.0,150.814,44.519,0.0,0.0,0.2330000000000041,0.0
96.0,0.0,151.047,44.5187,0.0,0.0,0.2330000000000041,0.0
95.5,0.0,151.279,44.5175,0.0,0.0,0.23199999999999932,0.0
95.5,0.0,151.512,44.5159,0.0,0.0,0.2330000000000041,0.0
95.0,0.0,151.745,44.5168,0.0,0.0,0.2330000000000041,0.0
95.75,0.0,151.977,44.5165,0.0,0.0,0.23199999999999932,0.0
95.75,0.0,152.21,44.5187,0.0,0.0,0.2330000000000041,0.0
96.25,0.0,152.443,44.523,0.0,0.0,0.2330000000000041,0.0
96.5,0.0,152.675,44.5205,0.0,0.0,0.23199999999999932,0.0
95.75,0.0,152.908,44.513,0.0,0.0,0.23299999999997567,0.0
97.75,0.0,153.141,44.5113,0.0,0.0,0.2330000000000041,0.0
97.0,0.0,153.373,44.5119,0.0,0.0,0.23199999999999932,0.0
98.25,0.0,153.606,44.5166,0.0,0.0,0.2330000000000041,0.0
97.75,0.0,153.839,44.5183,0.0,0.0,0.2330000000000041,0.0
98.75,0.0,154.071,44.5172,0.0,0.0,0.23199999999999932,0.0
98.25,0.0,154.304,44.5208,0.0,0.0,0.2330000000000041,0.0
98.5,0.0,154.537,44.5168,0.0,0.0,0.2330000000000041,0.0
98.0,0.0,154.769,44.5171,0.0,0.0,0.23199999999999932,0.0
98.5,0.0,155.002,44.5125,0.0,0.0,0.2330000000000041,0.0
98.75,0.0,155.235,44.5181,0.0,0.0,0.2330000000000041,0.0
98.75,0.0,155.467,44.5171,0.0,0.0,0.23199999999999932,0.0
99.0,0.0,155.7,44.5219,0.0,0.0,0.23299999999997567,0.0
99.5,0.0,155.933,44.5166,0.0,0.0,0.2330000000000041,0.0
99.25,0.0,156.165,44.5215,0.0,0.0,0.23199999999999932,0.0
100.0,0.0,156.398,44.5152,0.0,0.0,0.2330000000000041,0.0
99.75,0.0,156.631,44.5185,0.0,0.0,0.2330000000000041,0.0
99.75,0.0,156.863,44.5162,0.0,0.0,0.23199999999999932,0.0
100.25,0.0,157.096,44.5153,0.0,0.0,0.2330000000000041,0.0
100.25,0.0,157.329,44.5155,0.0,0.0,0.2330000000000041,0.0
100.5,0.0,157.561,44.5162,0.0,0.0,0.23199999999999932,0.0
100.25,0.0,157.794,44.516,0.0,0.0,0.2330000000000041,0.0
100.5,0.0,158.027,44.5119,0.0,0.0,0.23299999999997567,0.0
100.25,0.0,158.259,44.5136,0.0,0.0,0.23199999999999932,0.0
100.75,0.0,158.492,44.519,0.0,0.0,0.2330000000000041,0.0
101.0,0.0,158.725,44.5196,0.0,0.0,0.2330000000000041,0.0
101.0,0.0,158.957,44.5151,0.0,0.0,0.23199999999999932,0.0
100.5,0.0,159.19,44.5216,0.0,0.0,0.2330000000000041,0.0
101.5,0.0,159.423,44.5181,0.0,0.0,0.2330000000000041,0.0
101.5,0.0,159.655,44.5134,0.0,0.0,0.23199999999999932,0.0
101.5,0.0,159.888,44.5155,0.0,0.0,0.2330000000000041,0.0
101.0,0.0,160.121,44.5185,0.0,0.0,0.2330000000000041,0.0
101.25,0.0,160.353,44.5182,0.0,0.0,0.23199999999999932,0.0
101.5,0.0,160.586,44.5181,0.0,0.0,0.2330000000000041,0.0
